Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Hypsurus caryi,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,0,0.2604166666666667,0.9021097956087902,3.125,0,Group 4,Offshore
Hypsurus caryi,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,0,0.78125,1.9424423765876908,6.25,0,Group 4,Offshore
Hypsurus caryi,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,2.844277115428744,5.6103481424511346,6.662344426972895,15.075553572714725,0,Group 4,East
Hypsurus caryi,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,0,1.5625,3.827327723098716,9.375,0,Group 4,West
Hypsurus caryi,Parallel,Down-current,High Relief,East Parallel Mid_High,0,0.9319896775340247,1.5100149531580411,4.365770386100317,0,Group 5,Inshore
Hypsurus caryi,Parallel,Up-current,Low Relief,West Parallel Mid_Low,0,1.0640062003737096,1.6272801741178249,4.367176772376412,0,Group 5,Offshore
Hypsurus caryi,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,1.5625,2.0833333333333335,2.551551815399144,6.25,0,Group 5,East
Hypsurus caryi,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,0,1.5625,3.827327723098716,9.375,0,Group 5,East
Hypsurus caryi,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,1.2956735575802512,1.8308828841198712,2.2886030067400824,5.67295471198791,0,Group 5,East
Hypsurus caryi,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,0,0.5208333333333334,1.275775907699572,3.125,0,Group 5,West
Hypsurus caryi,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,0,0.950052717501143,2.3271443866223342,5.700316305006858,0,Group 5,West
Hypsurus caryi,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,0,0.2604166666666667,0.9021097956087902,3.125,0,Group 6,Offshore
Hypsurus caryi,Parallel,Up-current,High Relief,West Parallel Mid_High,0,0.22241287311253197,0.7704607929765505,2.6689544773503835,0,Group 6,Offshore
Hypsurus caryi,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,0,2.7641930478773435,5.050779740271698,14.93633736492113,0,Group 6,Offshore
Hypsurus caryi,Perpendicular,Down-current,High Relief,East Perpendicular Mid_High,2.234890072070031,3.961825175623121,4.857472034706967,12.451738623884436,0,Group 6,East
Hypsurus caryi,Perpendicular,Up-current,Medium Ecotone,West Perpendicular Ecotone_Medium,3.125,2.6041666666666665,2.352414539715878,6.25,0,Group 6,West
Hypsurus caryi,Perpendicular,Up-current,Medium Relief,West Perpendicular Mid_Medium,7.428480010290153,10.183700860112404,12.053754926485777,31.835143921708607,0,Group 6,West
Halichoeres semicinctus,Perpendicular,Up-current,High Relief,West Perpendicular Mid_High,0,0,0,0,0,Group 1,West
Halichoeres semicinctus,Perpendicular,Down-current,High Ecotone,East Perpendicular Ecotone_High,1.5625,2.0833333333333335,2.551551815399144,6.25,0,Group 2,East
Halichoeres semicinctus,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,0,0.5208333333333334,1.8042195912175805,6.25,0,Group 3,Inshore
Halichoeres semicinctus,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0,0.78125,1.413334427708267,3.125,0,Group 3,Inshore
